Modelo,Accuracy_CV,F1_CV,AUC_CV
Perceptrón,0.825885896770423,0.825682831468237,0.9203700061197335
Regresión Logística,0.8596662987553023,0.8595773413258898,0.9524410611184271
Árbol de Decisión,0.9795550293857817,0.9795547400209681,0.9795550937652543
KNN,0.791921585467573,0.7895727829745336,0.8647589846918627
Naive Bayes,0.7086312263912492,0.6968381053322069,0.8741394305843148
Random Forest,0.9970345396392082,0.9970345126417556,0.9999915632960915
AdaBoost,0.9871619435863626,0.9871597281986881,0.9999436231736482
Voting Classifier,0.9585390563082832,0.9585363296574292,0.9940044452624935
